model_name,accuracy
Random Forest,0.9784876140808344
Gradient Boosting,0.9661016949152542
Bagging,0.9641460234680572
Kernel Logistic Regression (RBF),0.9615384615384616
Neural Network,0.954367666232073
Kernel SVM (RBF),0.952411994784876
Kernel SVM (Poly),0.9504563233376792
CART,0.9478487614080836
AdaBoost,0.9458930899608866
Kernel Logistic Regression (Poly),0.9380704041720992
Linear SVM,0.9328552803129074
Penalized Logistic Regression,0.9276401564537158
LDA,0.9041720990873532
